,product_description,category,id
23,top quality granite quartz kitchen worktops factory local areas covered surrey croydon hounslow twickenham ealing slough wembley harrow edgware barnet including home counties finest craftsmanship competitive quotes including templating cutting delivery fitting quick turnaround lead times business days get touch get free noobligation quote please send us telephone details information provided advert designers contact offer competitive quote,Home & Garden / Kitchenware & Accessories / Kitchen Storage / Other Kitchen Storage,53061acb-d253-41c2-8626-ea92e1f26c21
26,super king bed excellent condition marks stains rips pet smoke free homethe divan base comes two halves sprung top extra comfort side bed two drawers four total two full size drawers foot end two half size drawers head end enable bedside cabinets usedthe headboard divan bases covered high quality chenille material light beigesand colour due material bed pictures may look marked discoloured shadows light catching material bed sits beach wood feet four corners black supporting feet areas visible bed breaks three main components head board two halves divan base wanted could technically split bed half use two divan bases standard sized single beds would need add adjust feetthe sizes follows centimetresbed overall l w hdivan base l w hdivan base single l w hheadboard w hfull draw w hhalf draw w hplease ask questions priced low sell fast thanks advance,Home & Garden / Beds & Bedroom Furniture / Other Bedroom Furniture & Accs,a68bf37d-e00f-4a33-b39f-540dd1102d28
29,bestway steel pro quot x quot x quot frame pool spend summer water bestway steel pro pool inch x inch x inch steel pro splash pool bestway fantastic family swimming pool specially designed withstand elements provide smashing splashing fun many years come also great entertaining guests summer party cooling scorching hot day corrosionresistant steel frame sturdy durable offer family fun summer long duraplus liner made durable material reinforced strength punctureresistance pool simple set take offseason storage tools required hose connects builtin flow control valve quickly easily drain away pool water featured ft outdoor pool ideal cooling fun hot summer daysheavyduty pvc polyester ply tritech side walls strength durabilitybuiltin flow control drain valve makes easy drain attaching valve garden hose included adapter drain away waterlong lasting corrosion resistant metal frameseasy setup take offseason storagedimensions ft inch x ft inch x inch x x cmcapacity percent litre gallons items includedbestway rectangular pool cm x cm x cmsteel swiming pool framewater pump clamps water pumprepair patchplastic feet framemanuals,Home & Garden / Garden & Patio / Outdoor Settings & Furniture,b81d8d08-7da7-40f9-9558-f29a67eee189
30,royal worcester poppies cm diameter flan pie dish round quiche flutedlovely clean conditioncrisp colours designno chips cracks damageplease see pictures details form part description smoke pet free environmentcollection redruthno holding without payment advertised elsewhere,Home & Garden / Kitchenware & Accessories / Tableware / Dinnerware & Crockery,5d562c81-c415-4b48-ab68-a5399d3a7420
31,pair heartthemed items would make lovely gifts immaculate condition unused original packaging heart home fragranced oil burner set containing white ceramic oil burner heartshaped vent three bottles fragranced oils vanilla fresh cotton fresh linen set unopened original packaging immaculate condition currently retailing amazon set natural slate coasters tied string includes piece chalk wrapped cellophane enabling messages written slate slate coasters pads underside protect furniture set never used immaculate condition similar product currently retailing selling pair items collection,Home & Garden / Other Household Goods,0b406233-3358-4559-a859-49552e203703
35,unique nomadic rug size cm x cm quality machine woven reeds knots per meter,"Home & Garden / Dining, Living Room Furniture / Carpets & Flooring",bcb7e8c6-88d9-43b8-b082-e9b998898f4a
43,set sofas seater dcm lcm h cm seater dcm lcm h cm seater dcm lcm h cm collection,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",a26b234a-55f0-4afb-8649-722b76d570be
44,brand new unwanted picture approx cm wide cm height cm depth,"Home & Garden / Dining, Living Room Furniture / Paintings & Pictures",dcbe214e-cb4b-4f18-ab16-218ec12ab68b
48,new bunny canvas approx cm x cmsmoke pet free home,"Home & Garden / Dining, Living Room Furniture / Paintings & Pictures",6f228cd8-a2d6-4f23-858b-4a77a2f42d7c
49,solid oak nest tables excellent condition heavycollection east dereham nr delivery available fuel costs,"Home & Garden / Dining, Living Room Furniture / Coffee table",538b5593-1ed7-4591-b662-980915a82b4e
50,like deep divided plate airtight lid ideal picnics lunch box storing food fridge maybe taking left overs work,Home & Garden / Other Household Goods,2275f5f2-ee51-410c-8d85-e5923285a864
51,brand new quality hilton bed mattress sizes storage optionfree home deliveryframe woodfabric plush velvet crushed velvetavailable colourssteel silver grey black mustard gold sky mink turquoise duck egg beige teal sapphire maroon brown morebed sizes pricessmallsingle mattress double mattress king mattress super king mattress gas lift extra ottoman box extra cash deliveryinbox queries,Home & Garden / Beds & Bedroom Furniture / Double Beds / Private,5b58a9d7-4006-4bb1-aa45-1f231462ad42
52,collection onlynext home dressing table stool solid wood needs bit tlc scuffed marked could restored lovely open negotiation within reason cm w x cm x cm h,"Home & Garden / Dining, Living Room Furniture / Dining Tables & Chairs",ba4968a9-5c76-49c2-a90e-e4a5b2d773ac
53,cream fully lined diamond patten curtains x good condition posted maureen dining living room furniture curtains blinds windows west derby december,"Home & Garden / Dining, Living Room Furniture / Curtains, Blinds & Windows",ef9c607a-9d95-49f8-abf8-9ad03dd20fda
54,offer offer offerwhatsappbrand new sofabest quality super fast delivery best quality sofa atcheapest pricewe selling stunning stylish sofanow order best quality wardrobe door stepbrand new sofavariety colors availableon delivery timeour first aim customer satisfactionwe never compromise quality,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",afb515c9-40d2-4480-8921-31f6bc36bd7a
55,genuine woltu quality stools matching pair brand new upholstered attractive patchwork fabric bolted onto beech legs polished steel foot bar sturdy german designed chairs assembled never used perfect breakfast bar,"Home & Garden / Dining, Living Room Furniture / Chairs, Stools & Other Seating",3778d369-8b32-4c57-882f-6fd3c02c42c2
56,year old microwave sale perfect condition works selling due moving back family want,Home & Garden / Kitchenware & Accessories / Cookware / Microwave Cookware,09349673-6b4a-465a-b232-42185d2bd959
57,top range stainless steel unbreakable work flask well renowned flask manufacturer thermos outshines cheaper makes highest qualities manufacture non plastic containerand importantly keeping contents hotter longeroffered less half retail price bargain buy tennerspotlessly clean comes removeable cup carry handleideally buyer collects long eaton ng ad might deliver locally free charge transport,Home & Garden / Other Household Goods,3e29ed80-ccf8-4bbc-9318-3da0d5e5e6cb
58,brand new beds avaliable please text mecontact information whatsappwe sofas available herethanks,Home & Garden / Beds & Bedroom Furniture / Single Beds / Private,e3048c01-db41-4588-b88e-833029bf82ae
59,old style solid wooden stool great upcycling project marks adds charm easily removed size cm h cm w cm depth ono,"Home & Garden / Dining, Living Room Furniture / Chairs, Stools & Other Seating",25a5b6b5-74e6-4936-9257-73cbb32c7d8f
60,attractive cabinet two glass shelves wooden shelf bottom display area storage cupboard beneath used display glassware good conditionheight cm width cm cm including top bottom trim depth cm plinth cm depth plinth cm depth top includes trimbuyer collects clactononseahollandonsea border,"Home & Garden / Dining, Living Room Furniture / Other",b4eea71f-8d06-4ccd-bb9c-93cca5fcab1f
61,completely sold online selling missed return date immaculate condition shown brand new without tags large cm x cm pot diameter cmsmall cm x cm pot diameter cm collection feniscowles due size,Home & Garden / Other Household Goods,74f5811d-b9e2-40e7-8fcc-0d19af191834
64,large garden storage box half years old paid range open sensible offerssmall crackdamage one corner due recent wind storms shown photosdimensionsheight depth width mmust collect,Home & Garden / Garden & Patio / Outdoor Settings & Furniture,615e7b06-b976-4b68-828d-fc29f4bcd54a
65,brand new unusednot mark flooring immaculate condition white black speck viynl flooring slight flicker glitter size wide x long collection sl langley,"Home & Garden / Dining, Living Room Furniture / Carpets & Flooring",0a9f67fb-23c2-454a-9ed6-62e6bc2e6cc6
66,pair manual recliner chairs pale green fabric material chairs excellent condition backs come transportation,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",006580a6-a094-44e9-afae-bf0b2608f304
67,instant degree boiling waterall one tap dispenses boiling water aswell giving access cold warm water color polished chrome litre tank supplied,Home & Garden / Other Household Goods,6351baeb-33eb-4ba9-b7c0-aba4bae11552
68,please click see ads right top corner view full range whether youre investor home owner furniture packages quickest costeffective way furnish entire property doublesmall double memory orthopaedic bed bed basemattressother sizes available single kingsize condition brand new assembly requirednoready use addonshead board leather black brown cream drawers drawers bed base individual price mattress individual price mattress specifications inch high density memory foam open coil bonnell spring extra support wire wedge extra support approx inch mattress medium firm comfort mattress rating hypo allergenic contours bodys natural shape fully compliant uk fire regulations upgradedowngrade options base mattress please refer pictures different types mattressessemiorthopaedic set image full orthopaedic maxi set image super orthopaedic crown set image memory foam orthopaedic set image pocket sprung luxury set pocket sprung luxury set order call text us direct lines speak sales team mob email us gumtree messaging system direct gadget call book ampm slot delivery samenextselect day delivery via fleet vehicles working partnership landords estate agents deliver london surrounding areas payment method cash delivery paypal bacs transfer hope experience enjoyable possible theres anything improve make life easier please dont hesitate let us know sold dispatched toru beds ltd gurney close essex united kingdom company registration,Home & Garden / Beds & Bedroom Furniture / Double Beds / Private,45acbefc-7f24-41ff-af59-374c13b8d9b6
69,stunning vintage pine farmhouse scrubtop table plank top mm thick absolutely rock solid mortice tenon joints cast iron corner brackets engineered understatement length six feet width inches height inches table servants kitchen country house north yorkshire quality shows possible delivery northern england midlands cash collection paypal,"Home & Garden / Dining, Living Room Furniture / Dining Tables & Chairs",39e6b9eb-4320-4f89-a401-55b6fc39bddf
70,new ikea ektorp armchair charcoal grey hallarp removable washable covers hardly used comfortable freshly laundered covers selling due lack space new,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",b862b005-b11d-4b9b-88d9-c5d50c907c1f
71,early signed winstanley ginger cat size phone enquiries pm please collection fixed price,"Home & Garden / Dining, Living Room Furniture / Mirrors, Clocks & Ornaments",6277f04e-7cbd-480a-9990-61c9525ebea1
72,brand new beds avaliable please text mecontact information whatsappwe sofas available herethanks,Home & Garden / Beds & Bedroom Furniture / Single Beds / Private,2e6db1e3-b60d-456a-8320-ddf4827e464f
84,smala ligne roset daybed sofas wear tear marks look bad real like compared photos attempted clean yet could come easily viewing advised come two large matching cushions rrp collection message details ono,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",3363e551-9da1-4032-ac58-f4928b848205
85,professionally made curtains fully lined pencil pleatingsand plum coloured stripesdrop width curtain matching cushions cushions x cushions x,"Home & Garden / Dining, Living Room Furniture / Curtains, Blinds & Windows",253c59ca-2bcf-4f96-85d9-99a74ff16e7f
86,patterned green grey white lined lounge curtainsdrop cmwidth cmpencil pleat tops matching tie backs,"Home & Garden / Dining, Living Room Furniture / Curtains, Blinds & Windows",470bde59-0755-4527-924e-a03a48375ded
87,solid wood kitchen table good condition size cm x cm cm high selling due house move,"Home & Garden / Dining, Living Room Furniture / Dining Tables & Chairs",931968ce-4309-4a1b-8cdc-4fac14dfb6af
88,free delivery warehouse clearance cheapest online prices mattress ft standard single cm x cm ft x ft ft small single cm x cm ft x ft mattresses springs budgeteconomy mattress softcm deep stock weekslight quilt mattress soft cm deep deep quilt mattress medium firmcm deep molly orthopaedic mattress medium firmcm deepdual sided memory foam orthopaedic springs mattress medium firmcm deep saleonly luxury orthopaedic mattress firmcm deep special offer moment royal luxury orthopaedic mattress extra firmcm deep pocket sprung mattressesdeluxe pocket sprungs mattress firmcm deepdeluxe memory pocket sprungmemory foam dual sided wintersummer mattress firmcm deep deluxe luxury pilow top pocket sprung aloe vera mediumcm deep mattresses without springsmemory foam mattress springsmediumcm deepnot cheap vacuum packed version sale moment memory foam slim mattress springsfirm cm deep cheap vacuumpacked versionorthopaedic foam extra extra firm supportcm deepextra firmno springs standard double ft x ft cm x cm small double ft x ft cm x cm price mattresses springssoft budget mattress currently stockdeep quilt mattress medium firmcm deep molly orthopaedic mattress medium firmcm deep dual sided memory foam orthopaedic springs mattress medium firmcm deep sale luxury orthopaedic mattress firmcm deep special offer moment royal luxury orthopaedic mattress extra firmcm deep mattresses pocket springsdeluxe pocket sprungs mattress memory foam firmcm deepdeluxe memory pocket sprungmemory foam dual sided wintersummer mattressmedium firmcm deep special offer moment deluxe luxury pilow top pocket sprung aloe vera mediumcm deep mattresses without springs memory foam mattress springsmediumcm deepnot cheap vacuum packed version sale moment memory foam slim mattress springsfirm cm deep cheap vacuumpacked versionorthopaedic foam extra extra firm support cm deepextra firmno springs saleonly mattresses delivered flat box king size ft x ft cm x cm mattresses springssoft budget mattress currently stockdeep quilt mattress medium firmcm deep molly orthopaedic mattress medium firmcm deep dual sided memory foam orthopaedic springs mattress medium firmcm deep special offer luxury orthopaedic mattress firmcm deep special offer royal luxury orthopaedic mattress extra firmcm deep mattresses pocket springsdeluxe pocket sprungsorthopaedic memory foam mattress firmcm deepdeluxe memory pocket sprungmemory foam dual sided wintersummer orthopaedic mattress firmcm deep saleonly deluxe luxury pilow top pocket sprung aloe vera orthopaedic medium firmcm deep mattresses without springsmemory foam mattress springsmediumcm deepnot cheap vacuum packed version sale moment memory foam slim mattress springsfirm cm deep cheap vacuumpacked versionorthopaedic foam extra extra firm support cm deepextra firmno springs saleonly mattresses delivered flat standard uk super king size ft x ft cm x cm mattresses springssuper king size deep quilt mattress medium firm super king size molly orthopaedic mattress medium firm super king size orthopeadic memory touch dual sided softcm deep sale onlysuper king size orthopeadic memory touch dual sided medium firmcm deep sale onlysuper king size luxury orthopaedic mattress firmcm deep special offer moment super king size super tuft orthopaedic mattress firm extra firmcm deep special offer moment super king size royal orthopaedic mattress extra firm deluxe pocket sprungs mattress firmcm deepdeluxe memory pocket sprungmemory foam dual sided wintersummer mattress firmcm deep saleonly deluxe luxury pilow top pocket sprung aloe vera mediumcm deep mattresses without springsmemory foam mattress springsmediumcm deepnot cheap vacuum packed version sale moment orthopaedic foam extra extra firm support cm deepextra firmno springs saleonly mattresses delivered flat box please note dont accept returns ft super king size mattresses doesnt fit bed frameyou cant put upstairs etcplease make sure order right size purchasingand fit staircase mattresses comes flat dont bend prices bed bases single base prices starting cream colourno storageno headboard cream damask fabric black crushed velvetplush velvetlinossofaux leather chenille colourssliding doors storage extra two drawers extra faux leather headboard special colour material headboard special colour material diamonds small double standard double base prices starting cream colourno storageno headboard cream damask fabric black crushed velvetplush velvetlinossofaux leather chenille colourssliding doors foot end extra two drawers extra four drawers extra faux leather headboard special colour material headboard special colour material diamonds king size base prices starting cream colourno storageno headboard cream damask fabric black crushed velvetplush velvetlinossofaux leather chenille colourssliding doors foot end extra two drawers extra four drawers extra faux leather headboard special colour material headboard special colour material diamonds super king size prices starting base cream black colour material two drawers four drawers sliding doors faux leather headboard matching fabric plain headboard matching fabric diamondstuds headboard prices complete beds divan bed base mattress price list standard single ft x ft cm x cm small single ft x ft cm x cm beds base cream black deep quilt mattress base cream black medium firm orthopaedic mattress base cream black medium firm orthopaedic memory foam dual sided mattress springsbase cream black medium firm memory foam mattress springsbase cream black firm luxury orthopaedic mattress special materials colour base colours extra storage headboard optional sliding doors side extra drawers side extra faux leather headboard creamdark brown black special material colour plain headboard special material colour diamond headboard price list standard double ft x ft cm x cm small double ft x ft cm x cm beds base cream black deep quilt mattress base cream black medium firm orthopaedic mattress base cream black medium firm orthopaedic memory foam dual sided mattress springsbase cream black medium firm memory foam mattress springsbase cream black firm luxury orthopaedic mattress special materials colour base colours extra storage headboard optional sliding doors foot end extra drawers side extra drawers extra faux leather headboard creamdark brown black special material colour plain headboard special material colour diamond headboard price list standard king size ft x ft cm x cm beds base cream black deep quilt mattress base cream black medium firm orthopaedic mattress base cream black medium firm orthopaedic memory foam dual sided mattress springsbase cream black medium firm memory foam mattress springsbase cream black firm luxury orthopaedic mattress special materials colour base colours extra storage headboard optional sliding doors foot end extra drawers side extra drawers extra faux leather headboard creamdark brown black special material colour plain headboard special material colour diamond headboard,Home & Garden / Beds & Bedroom Furniture / Double Beds / Business,a4246b1c-962a-414d-965c-fd36da0a6415
89,ikea rug measures ccm used fair condition wear tear one side marks stains frompet free smoke free home collection,"Home & Garden / Dining, Living Room Furniture / Carpets & Flooring",d60b8a85-0b91-40a9-82dd-07c08c55dce9
96,aluminium tables chairs sale sell two lots required,"Home & Garden / Dining, Living Room Furniture / Dining Tables & Chairs",1ad84a76-8f50-4069-813d-43f6edb48a0f
97,vintage gold leaf covered mirror much loved doesnt fit decor new house cracks couple skuffs frame add charm currently stored packed garage wcm x hcm,"Home & Garden / Dining, Living Room Furniture / Mirrors, Clocks & Ornaments",cedbf235-b6e4-4a54-98c6-6a02e6aeba52
98,jonelle polycotton curtains pretty coloured print flowers birds writing animals people cream background vintage slight fading though hard tell selling various curtains etc moved house approx measurementsw inches cmdrop inches cmtraditional tape top buyer collects portishead bs,"Home & Garden / Dining, Living Room Furniture / Other",cc756d52-64c9-4dd5-81af-a4e62fa6bd4a
99,set three glass coffee tables curved metal legs one rectangular two square tables joined make one square tables eachrectangular table three ct furniture heaton terracebykernewcastle upon tynene jr items delivered locally please telephone site contact number arrange safe contactless delivery paymentterms conditions salecollection itemsitems must paid full collected within days saledelivery arranged phoning storeif wish arrange collection booking courier permission warehouse must obtained beforehandplease note ct furniture responsible packaging itemswe also unable book couriers behalfany damage loss caused whilst transit must logged courierspayment optionsct furniture accepts following payment options paypal credit debit card phone store cash storenot lockdownall payments must received within hours saleopening timesopening hours listed websitepoliciesct furniture reserve right end block communication buyers abusive follow gumtree ruleswe strive give utmost customer service please feel free contact us questionsby buying item items agreeing terms returns policy complete terms conditions please contact storereturnsas rule items sell preownedwe describe items accurately possible whilst listingas preowned furniture item may show signs use due age intended use may scratches scuffs signs wear expected structural damage please see pictures better idea conditionhowever accept returns items unless proven faultycomplaintsany complaints queries must made via emailyour feedback always important us always aim rectify problems encounteredcomplaints responded within working dayslocal deliverywe offer fast local contactless delivery service small fee please call office details areas deliver costs involvedabout uscommunity transport national charitable enterprise provided support local communities past years transport vulnerable isolated people minibuses offer driver training collect sell used furniture meet needs local peopleby purchasing items ebay charity shop ct furniture money raised helps provide people need affordable furniture also gives people access accessible minibuses provide journeys enrich lives really add pleasure daytoday living may mobility problems alternative form passenger transport availablect furniture part community transport registered charity england company limited guarantee england wales registered address st johns business centre calder street west vale halifax hx,"Home & Garden / Dining, Living Room Furniture / Coffee table",fb5f19a5-6137-4e43-8629-c36ad4eb4981
100,brand new beds avaliable please text mecontact information whatsappwe sofas available herethanks,Home & Garden / Beds & Bedroom Furniture / Single Beds / Private,a33f8af2-093e-40e3-b86c-477c3addb431
101,glass dining table four chairs sale like new never really used dismantled put away renovation work need,"Home & Garden / Dining, Living Room Furniture / Dining Tables & Chairs",fa9c0d7a-cb7f-43d9-9654-9c44561a093e
105,clean smoke free home x new jugg nutri pouch systems posted betty home garden household goods kirkcaldy february,Home & Garden / Other Household Goods,c0e5ef79-09c0-4cb7-9b7c-edd3d53aa530
113,solid pine coffee table slim wooden legs good condition couple slight marks top sturdy table project table looks good use shown thanks looking,"Home & Garden / Dining, Living Room Furniture / Coffee table",82f09c12-a151-450e-923e-12c2ea83fbb2
114,hardly used acoustic guitar goodplease contact queries,Home & Garden / Other Household Goods,a9b06a08-adeb-4aea-9e73-86de843bf868
120,kitchendining table chairs great condition approx metre diametercan viewed prior purchasepick gpick mount florida g,"Home & Garden / Dining, Living Room Furniture / Dining Tables & Chairs",6fc2f8d0-9903-4ccc-bb23-adeaf8877f9a
121,sofa bed blue fabric wcm dcm hcm extends cm buyer uplifts,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",e9627aaa-9e25-4850-9d5b-aff72ce027b9
133,bran new still box amalfi chrome piece bathroom set collection stockbrook area derby,Home & Garden / Other Household Goods,755252d7-584b-4b9a-acff-4e19cfcd547b
134,brand new beds avaliable please text mecontact information whatsappwe sofas available herethanks,Home & Garden / Beds & Bedroom Furniture / Single Beds / Private,8463c9dd-ef09-4bbe-beda-f3bf029d5ba8
135,glass top bamboo table four matching chairs table cm tall diameter cm,Home & Garden / Other Household Goods,87b441a3-f8dd-42f1-b4dc-7248017bcc0c
136,x still boxed error delivery looking quick sale retail pair including delivery costs paid looking,"Home & Garden / Dining, Living Room Furniture / Chairs, Stools & Other Seating",baa04038-d98b-4b7c-8644-2561f4864f55
137,cushion cover pompom design brand new,Home & Garden / Other Household Goods,18c011af-5d69-4a0b-90eb-4d5beeb45fb9
138,beautiful original khaaditable runner nice red colournew tags,"Home & Garden / Dining, Living Room Furniture / Tableware",be51676c-44c7-4a3c-8c2f-83a5225b4c98
139,cuddleswivel chairthis item freeto collected asap cannot deliveredcm diameter approxcm height cushion back makes slightly higher,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",bb2d6f6a-a212-4764-ab65-4e2e041d1487
140,providing wedding light gates hire lights available white pink blue also gate smallmediumlarge size meter tunnel walkway also provide backdrop small occasion discount provided light full backdrop setup hiredshould following event likewedding walimabharat mehndihaldi nightengagementnikkahcinifanakht get touch us wattsapp messaging direct quotecheck availability discuss duration hire secure booking us,Home & Garden / Other Household Goods,2b33e8b4-7d4c-4bdf-9e67-d51e1493bae9
141,pair fairly new lampshades seen final picture still sale good conditionneed gone soon possible moving friday collection happy answer questions,"Home & Garden / Dining, Living Room Furniture / Lighting & Fittings",fda07c8b-e1dc-4667-b306-1e2de457d03a
149,genuine iconic ercol chairs purchased late officially titled easy chair excellent piece ercols timeless quality furniture less commonly seen model saville range framework well constructed solid natural ash ladder back design pleasing feature similarly fashioned arms cushions attached frame velcro straps buttoned front back easily removed turned recovered existing fabric covers zipped condition framework good minor marks use structurally loose joints upholstery perfectly usable minor signs wear total three chairs sale either singly two three discounts multiple purchases follows chair chairs chairs measurements height top back rest cushions inches cmswidest part across arms inches cmsdepth seat inches cmsheight top seat cushion inches cmsheight top arm cushions inches cmswidth front arms inches cmsthese best please feel free get touch come try chairs obligation,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",e8e05c45-6cf3-4729-b46a-bf298f1d1163
150,great condition spare room lightly used changing room home office,Home & Garden / Beds & Bedroom Furniture / Single Beds / Private,c65426cf-1ec2-4a3e-99ce-f0889926d0e6
151,healthopaedic mattressdouble bed size ft ins ins deepmemory foam hypoallergenic pressure relieving temperature sensitivecondition new bought spare room used timescash collection,Home & Garden / Beds & Bedroom Furniture / Mattresses / Private,749fbab4-7bf7-4552-8b8f-b52e5be9615b
152,brand new unused black white speck viynl flooring slight hint glitterfelt backing size wide x long collection sl langley,"Home & Garden / Dining, Living Room Furniture / Carpets & Flooring",cc519427-1f8e-415b-8a9a-78e9c44043c2
153,approx measurements xcomes smoke free home collection bebington ch,"Home & Garden / Dining, Living Room Furniture / Paintings & Pictures",1a4cd71a-5e33-4928-9418-447ec1bf9803
154,call dustin day day delivery anywhere london miles outside londonpay arrival peace mind berlin sliding mirror wardrobethe berlin sliding mirror wardrobe perfect edition contemporary style bedroom available range beautiful colours ie black white walnut wenge grey available different sizes suit preference deliver flat packing thats easy assemble berlin range looking stylish functional well crafted highquality chipboards adjustable hinges suit everyones choice fulllength mirror present sliding doors provides full head toe view order favourite berlin wardrobe range different sizes according available space features berlin sliding mirror wardrobe fulllength mirrorsmatte finish sliding doorsdesigned high functionality elegancemetal handlesdurable scratchresistantoptional led light coloursblack grey dimensions width cm cm cm cm cmheight cmdepth cm prices cmcmcmcmcm company detailsdivan beds ltd building hopton roadwoolwich london united kingdomse tl,"Home & Garden / Beds & Bedroom Furniture / Wardrobes, Shelving & Storage / Private",d52dc4c2-7b23-4375-9137-e323dcd68b66
155,brand new beds avaliable please text mecontact information whatsappwe sofas available herethanks,Home & Garden / Beds & Bedroom Furniture / Single Beds / Private,59e09920-9fcb-4ca2-b1fd-f056f12fa839
