,label,category,image_name,image_array
36,clothes_footwear_accessories,9,adfbfb35-6d32-46ea-8d5e-c2830ca58e98,[0. 0. 0. ... 0. 0. 0.]
37,office_furniture_equipment,2,f988ba22-4f57-42e1-9fc5-9492ebbf4c4b,[0.99607843 0.99607843 0.99607843 ... 0.9647059  0.98039216 1.        ]
38,music_films_books_games,7,cb19abbd-e941-4499-b4f3-34af55310c04,[0. 0. 0. ... 0. 0. 0.]
39,home_garden,1,e111eb0a-6729-47b3-90c7-37e29e228fd3,[0.         0.         0.         ... 0.01568628 0.01568628 0.01568628]
40,other_goods,8,ee1abb13-7407-45ff-87af-5a53358acdfc,[0.00392157 0.00392157 0.         ... 0.         0.01960784 0.02745098]
41,office_furniture_equipment,2,fd480cb5-f503-4b10-80a7-2791c95ee9fe,[0. 0. 0. ... 0. 0. 0.]
42,sports_leisure_travel,0,e5d41df7-8e87-438c-b363-6a1750fb2535,[0.02352941 0.01568628 0.00392157 ... 0.         0.         0.        ]
43,office_furniture_equipment,2,b3e605fc-f108-4258-9b19-38259bc0e48a,[0.01960784 0.00392157 0.04313726 ... 0.         0.         0.        ]
44,other_goods,8,a3e8ffec-732c-43a4-878e-eee34f3cd60f,[0.76862746 0.7647059  0.75686276 ... 0.22352941 0.27450982 0.24705882]
45,home_garden,1,44c44050-19a3-4d6b-9f75-c3384b281b61,[0. 0. 0. ... 0. 0. 0.]
46,diy_tools_materials,3,9e5c0f31-020e-4351-a64f-b28cd1ea5c74,[0.         0.         0.00392157 ... 0.01960784 0.01568628 0.01568628]
47,baby_kids_stuff,6,d9c85f03-cbc9-4dee-b306-263021a29f0a,[0. 0. 0. ... 0. 0. 0.]
48,office_furniture_equipment,2,6616ea41-6939-482d-aabd-f862fe76d3c8,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
49,video_games_consoles,10,dd0cabfb-ecbd-49fd-bab9-ac610e879841,[0.00392157 0.         0.         ... 0.         0.         0.        ]
50,computers_software,11,7bf7be4d-2230-420c-adc7-569054f4f223,[0.01176471 0.01176471 0.01176471 ... 0.         0.         0.        ]
51,appliances,5,31675155-b345-4518-baf1-399ff5130399,[0. 0. 0. ... 0. 0. 0.]
52,computers_software,11,156c6cae-e24b-4224-b179-73f95be92a17,[0.01568628 0.01568628 0.01568628 ... 0.         0.         0.        ]
53,appliances,5,f0105818-0ec9-4b2f-b04e-78b0d55e837c,[0. 0. 0. ... 0. 0. 0.]
54,computers_software,11,c914a2e1-f0d3-46ee-89fc-bb11e3de883b,[0.         0.         0.         ... 0.02745098 0.02745098 0.02745098]
55,computers_software,11,58238a26-e51c-4238-9b47-ac2ae43be197,[0.04313726 0.02352941 0.         ... 0.01960784 0.01960784 0.01960784]
56,music_films_books_games,7,27d947e6-5f3e-4bba-89c5-64a95d44b78e,[0.9843137  0.9254902  0.9372549  ... 0.9647059  0.9607843  0.99215686]
57,video_games_consoles,10,20e724ae-2c7f-47ac-bdfe-846bc465cda1,[0. 0. 0. ... 0. 0. 0.]
58,appliances,5,358e2c00-30bc-4fd1-a192-ac394c08b92c,[0. 0. 0. ... 0. 0. 0.]
59,office_furniture_equipment,2,202edec0-e084-41ee-a84d-a4844bfd68b9,[0. 0. 0. ... 0. 0. 0.]
60,office_furniture_equipment,2,a4ec9c98-f777-406e-8dd9-5c21a6fb0a19,[0. 0. 0. ... 0. 0. 0.]
61,video_games_consoles,10,2af64d93-e733-46d3-aa4e-8fbd3264716e,[0.         0.         0.         ... 0.02745098 0.02745098 0.03137255]
62,health_beauty,4,3c5d5775-8027-42bd-b661-c470a1986ad3,[0. 0. 0. ... 0. 0. 0.]
63,home_garden,1,aedaa841-8340-4a2a-8636-7f06122c526a,[0.01176471 0.01176471 0.01176471 ... 0.00784314 0.         0.        ]
64,baby_kids_stuff,6,e1791186-b5c6-4f0e-bbb1-a074d2f03061,[0. 0. 0. ... 0. 0. 0.]
65,phones_mobile_phones_telecoms,12,c4f2fe0f-2619-4b33-848e-cfa9ccee93fa,[0. 0. 0. ... 0. 0. 0.]
66,home_garden,1,abecd96d-247b-4d90-8f5b-8d69e2a19e07,[0. 0. 0. ... 0. 0. 0.]
67,baby_kids_stuff,6,b048384b-f0cc-4ffb-8d96-19ed5d058a1a,[0. 0. 0. ... 0. 0. 0.]
68,office_furniture_equipment,2,1ee1958a-8d5e-44df-8f61-72ab551d77c3,[0.03921569 0.02745098 0.01568628 ... 0.         0.         0.        ]
69,clothes_footwear_accessories,9,031bd0af-142f-4bab-aa7e-697a2dff1e55,[0. 0. 0. ... 0. 0. 0.]
70,baby_kids_stuff,6,762398f2-067d-41bd-bb51-942450ac7ef2,[0. 0. 0. ... 0. 0. 0.]
71,music_films_books_games,7,db7efb73-caf0-41d0-abf3-e61e7f579c5e,[0.         0.         0.02745098 ... 0.00784314 0.01568628 0.01568628]
72,home_garden,1,54efdcbc-132c-43dc-9b9a-15dd51e4fd74,[0.00784314 0.01176471 0.00784314 ... 0.00784314 0.01960784 0.01176471]
73,home_garden,1,af33f475-d9fa-422e-9192-92fda3d313b0,[0.01176471 0.00392157 0.         ... 0.00784314 0.         0.        ]
74,appliances,5,f6cd7618-8c2f-47f0-9272-2c53e5b21a28,[0. 0. 0. ... 0. 0. 0.]
75,music_films_books_games,7,2053383e-2180-4437-801c-9827af7b03c1,[0.         0.         0.         ... 0.00784314 0.01568628 0.01568628]
76,music_films_books_games,7,5addebd6-f51f-422b-a410-8fef5445ad2c,[0. 0. 0. ... 0. 0. 0.]
77,other_goods,8,33c313bc-a142-40e9-8c66-e3ce8b5222e2,[0.         0.         0.         ... 0.02745098 0.03529412 0.03529412]
78,office_furniture_equipment,2,e8c75b41-2fc3-40ce-a296-778dbe64cc86,[0. 0. 0. ... 0. 0. 0.]
79,phones_mobile_phones_telecoms,12,7be93969-a8a9-4029-b541-b0d801b0b82a,[0. 0. 0. ... 0. 0. 0.]
80,health_beauty,4,748edf02-b88a-4b67-86c4-d3e4d9794442,[0.01176471 0.00392157 0.         ... 0.         0.01568628 0.01960784]
81,video_games_consoles,10,c4f60cac-fc7d-4373-bd18-b03a0378a33b,[0.00392157 0.01176471 0.03137255 ... 0.         0.         0.        ]
82,computers_software,11,36bcf567-f9be-4b1a-b4fd-0fb142230bfd,[0.         0.         0.02352941 ... 0.         0.         0.        ]
83,video_games_consoles,10,1054920d-31e2-413b-864a-66ba004cb984,[0.         0.         0.         ... 0.01568628 0.00784314 0.00784314]
84,health_beauty,4,de7143c4-cb3b-4d97-b389-f27e63a7d25e,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
85,computers_software,11,ab9b5e3c-b1dc-4b6f-ab80-adee5fef0107,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
86,computers_software,11,c1752f84-b3c8-4785-87b3-82592be58e6c,[0.         0.         0.00392157 ... 0.         0.00784314 0.01176471]
87,computers_software,11,9f04c018-6977-48b1-87ce-d7eb471ea54d,[1. 1. 1. ... 1. 1. 1.]
88,home_garden,1,b80b78e2-336c-47bc-80a8-79a3c1d6742e,[0.         0.         0.         ... 0.01960784 0.01960784 0.01960784]
89,home_garden,1,d8ad118a-23b8-4da5-8e36-8f5de4cd810a,[0.         0.         0.         ... 0.04705882 0.05490196 0.05490196]
90,other_goods,8,64e9c01a-9c5d-46b1-9116-476d2978af44,[0.00784314 0.00392157 0.00392157 ... 0.         0.         0.        ]
91,phones_mobile_phones_telecoms,12,4be46e89-7b60-4df2-8dda-934148f301d3,[0.00392157 0.00392157 0.00392157 ... 0.         0.         0.        ]
92,other_goods,8,7e32cf9c-ea97-48af-950b-d6e42c499e1a,[0.03137255 0.02745098 0.01568628 ... 0.00784314 0.00784314 0.        ]
93,music_films_books_games,7,2855811c-7a05-41f3-8c72-c75b8e89027d,[0. 0. 0. ... 0. 0. 0.]
94,office_furniture_equipment,2,6ecdee8c-91cd-4776-ba5b-5913f3f28327,[0. 0. 0. ... 0. 0. 0.]
95,office_furniture_equipment,2,d180d0c3-e606-4434-a204-bc880b13416b,[0.00392157 0.00392157 0.00392157 ... 0.         0.         0.        ]
96,home_garden,1,3fac7ba3-a1cd-4525-bde4-1bb86ea0a6b3,[0. 0. 0. ... 0. 0. 0.]
97,computers_software,11,bcc7e29c-ffdd-47a3-9cc7-e94961d05923,[0. 0. 0. ... 0. 0. 0.]
98,music_films_books_games,7,4845eba3-9fd6-420f-b4fc-c3bbcab1059b,[0.         0.         0.         ... 0.         0.         0.01568628]
99,video_games_consoles,10,b8d702d6-f13f-4f2a-8f18-ef72745dfff3,[0. 0. 0. ... 0. 0. 0.]
100,sports_leisure_travel,0,6931efab-ce73-4304-af26-bf4f1ab773f0,[0.9882353  0.9764706  0.99607843 ... 1.         0.99607843 1.        ]
101,other_goods,8,56af79ac-421b-49fe-b170-d6bbb22a1d09,[0. 0. 0. ... 0. 0. 0.]
102,sports_leisure_travel,0,a25d67a1-7763-46d1-afda-ec4bdffd708d,[0. 0. 0. ... 0. 0. 0.]
103,clothes_footwear_accessories,9,7fcfdd75-bfa1-4537-8b5d-aec58a099b29,[0.01176471 0.01176471 0.00392157 ... 0.         0.         0.        ]
104,home_garden,1,36fdbf2e-8cd0-49f9-9544-204a67631f68,[0. 0. 0. ... 0. 0. 0.]
105,health_beauty,4,8b3dd54d-44f0-41a3-8926-f17f8743b230,[0.00392157 0.         0.         ... 0.02745098 0.01960784 0.01960784]
106,other_goods,8,01f55f07-c2fa-4b2a-8659-aa9113704a28,[0.         0.         0.00392157 ... 0.00784314 0.00784314 0.        ]
107,music_films_books_games,7,e1c1b83f-f6ca-4f8b-b8bf-89fe6677671a,[0. 0. 0. ... 0. 0. 0.]
108,office_furniture_equipment,2,4d775183-897c-4ad7-a6c8-2f33e058713e,[0.13725491 0.12156863 0.10980392 ... 0.13333334 0.14117648 0.15294118]
109,baby_kids_stuff,6,5f82938f-4328-490f-b94c-6b1c816bcba1,[0. 0. 0. ... 0. 0. 0.]
110,baby_kids_stuff,6,57728b67-d3ea-4fc9-96a1-58619d6025a6,[0.00392157 0.00392157 0.01568628 ... 0.         0.         0.        ]
111,phones_mobile_phones_telecoms,12,343dc43e-451e-4f38-96ec-9de727a731ba,[0.         0.         0.         ... 0.         0.00784314 0.00784314]
112,home_garden,1,0de3e2ff-7814-40e5-8e5b-86aa8010dc6a,[0.01568628 0.01176471 0.00392157 ... 0.         0.         0.        ]
113,appliances,5,88cc511c-644e-4ce5-87d0-1cdca04b641b,[0.99215686 0.99607843 1.         ... 1.         1.         0.9843137 ]
114,baby_kids_stuff,6,3dcdf14c-a08a-4a93-8243-4005f5a914b4,[0. 0. 0. ... 0. 0. 0.]
115,appliances,5,1c165ce5-88c6-47d1-bbf6-75efb70d9860,[0. 0. 0. ... 0. 0. 0.]
116,computers_software,11,14189054-31aa-4d60-89fa-56412cf3cafb,[0. 0. 0. ... 0. 0. 0.]
117,office_furniture_equipment,2,b4814760-5e49-427b-9619-7ceaa50a910a,[0.01176471 0.00392157 0.         ... 0.         0.         0.        ]
118,baby_kids_stuff,6,f91a668c-37c5-4fa0-9b68-98fb4073b768,[0.         0.         0.         ... 0.00784314 0.01568628 0.01568628]
119,computers_software,11,e8d1ebd3-e6a0-4f37-b6bf-f8f92682669e,[0. 0. 0. ... 0. 0. 0.]
120,computers_software,11,2c5a0da4-f03e-48f1-94b9-7724ff815eb4,[0. 0. 0. ... 0. 0. 0.]
121,phones_mobile_phones_telecoms,12,43cbbd0a-2b7d-48c3-959f-66950e28b92a,[0.         0.         0.         ... 0.00784314 0.01568628 0.01568628]
122,home_garden,1,ab71090a-ab8a-46e9-acfc-bc1ff48ff4a0,[0. 0. 0. ... 0. 0. 0.]
123,sports_leisure_travel,0,f6c80430-abc0-490b-b912-629c674f8c59,[0.         0.         0.         ... 0.00784314 0.         0.        ]
124,health_beauty,4,318948e2-9fb1-49bb-a0d3-c28cbdb2babf,[0.         0.         0.         ... 0.01960784 0.02745098 0.02745098]
125,computers_software,11,d09e6caf-6faf-4eff-a824-447f74e239dd,[0.01568628 0.01568628 0.01568628 ... 0.         0.         0.        ]
126,home_garden,1,51a92e3e-d158-433b-abf3-825b776d347f,[0.00392157 0.00392157 0.00392157 ... 0.         0.         0.        ]
127,appliances,5,f19e6e84-5932-405f-bcdc-3182b2df1b91,[0.00392157 0.00392157 0.         ... 0.01960784 0.0627451  0.07450981]
128,baby_kids_stuff,6,f511a170-98d7-46b7-a007-745adca790ef,[0.00392157 0.         0.         ... 0.         0.         0.        ]
129,appliances,5,b9a06c0b-3066-41fa-8092-3618576c71b6,[0. 0. 0. ... 0. 0. 0.]
130,computers_software,11,d5a744c3-4483-419a-9b6f-bc677812fdca,[0. 0. 0. ... 0. 0. 0.]
131,music_films_books_games,7,3b3e286c-6b8f-45eb-883d-9b32c01de696,[0. 0. 0. ... 0. 0. 0.]
132,health_beauty,4,ceeb4571-24bc-4c03-9d4f-7d9c85f2ff83,[0. 0. 0. ... 0. 0. 0.]
133,video_games_consoles,10,4e4a3268-afdf-4870-a303-3d851fa53e20,[0.         0.         0.         ... 0.01960784 0.03529412 0.03529412]
134,music_films_books_games,7,57e35357-a3bb-4f8a-948c-09264779dad6,[0.         0.         0.         ... 0.         0.00784314 0.00784314]
135,home_garden,1,8e19f1e9-9277-4f94-b75d-0c97333e79bc,[0.00392157 0.         0.         ... 0.         0.         0.        ]
136,home_garden,1,e1591949-2dc7-4b7d-9f78-6381e5e15459,[0.02745098 0.01568628 0.00392157 ... 0.         0.         0.        ]
137,home_garden,1,0fdc3f45-6784-4711-b20a-24f8f10d32b8,[0. 0. 0. ... 0. 0. 0.]
138,clothes_footwear_accessories,9,df815c5a-79a4-493b-a70a-768e412033f4,[0.         0.         0.         ... 0.02745098 0.02745098 0.02745098]
139,office_furniture_equipment,2,6da7b777-e6dd-4274-bd6a-394e06e1c552,[0.         0.         0.         ... 0.02745098 0.02745098 0.02745098]
140,baby_kids_stuff,6,d15f86a7-b8bc-499d-a419-a84984311d05,[0.         0.         0.         ... 0.01568628 0.01568628 0.01568628]
141,office_furniture_equipment,2,91954a25-28ae-4aec-acff-27415241deb5,[0. 0. 0. ... 0. 0. 0.]
142,home_garden,1,2b0792da-c36f-4530-9a08-8de34affd908,[0. 0. 0. ... 0. 0. 0.]
143,health_beauty,4,eca20750-972e-49ea-a5c5-febc2f0ed915,[0.99607843 0.99607843 1.         ... 0.9843137  1.         0.99215686]
144,office_furniture_equipment,2,ebc8689d-a33b-4861-9f10-1bcde0d5166e,[0. 0. 0. ... 0. 0. 0.]
145,diy_tools_materials,3,d7d1d2ba-3493-4372-9d44-f47e8dff577c,[0.12941177 0.14901961 0.16078432 ... 0.         0.         0.        ]
146,music_films_books_games,7,4af99e61-fdc8-422e-a219-ed7fec013ded,[0.00392157 0.00392157 0.00392157 ... 0.01568628 0.00784314 0.        ]
147,other_goods,8,a5ee8e87-8cea-452f-a24d-0c0f1d9be997,[0. 0. 0. ... 0. 0. 0.]
148,phones_mobile_phones_telecoms,12,63fe3826-b753-45f6-b724-e3ce03d3f90c,[0. 0. 0. ... 0. 0. 0.]
149,other_goods,8,d1d06ec2-7ea6-4406-a259-68f6a3d05222,[0.         0.         0.01176471 ... 0.         0.         0.        ]
150,video_games_consoles,10,65fcbc43-b507-4b80-92ca-d70d1175fa83,[0.00392157 0.01960784 0.         ... 0.         0.         0.        ]
151,diy_tools_materials,3,594f1d83-337a-4949-b0a5-144a3e7d2378,[0. 0. 0. ... 0. 0. 0.]
152,other_goods,8,8adc72e7-8ee9-4115-acac-b21ed2277077,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
153,office_furniture_equipment,2,40729fd6-9ce5-43dd-b490-b5ad065d2106,[0.         0.         0.         ... 0.01568628 0.01568628 0.01568628]
154,phones_mobile_phones_telecoms,12,932d5d71-7696-4a29-8251-afeebf12a081,[0.03921569 0.02745098 0.01176471 ... 0.         0.         0.        ]
155,music_films_books_games,7,8274793d-b4d6-44eb-a2ad-e9b09cc80d4d,[0. 0. 0. ... 0. 0. 0.]
156,office_furniture_equipment,2,ab62f68b-1185-4827-9d97-fb572cee7c56,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
157,baby_kids_stuff,6,1e214d11-110a-4d8e-adea-5b165633cd67,[0.2901961  0.2901961  0.28627452 ... 0.3019608  0.32156864 0.33333334]
158,home_garden,1,876029c0-03a6-4168-8af7-e427e58da6a3,[0.01176471 0.00392157 0.00392157 ... 0.         0.         0.        ]
159,phones_mobile_phones_telecoms,12,2cd763d3-9903-40e4-8872-90cb707edb22,[1.         1.         1.         ... 0.98039216 0.98039216 0.98039216]
160,other_goods,8,96547db6-eadd-4408-88de-84fe1800d540,[0.         0.         0.         ... 0.         0.         0.00784314]
161,home_garden,1,8a619254-04b9-43bb-8a1f-2f40fa7a2f62,[0. 0. 0. ... 0. 0. 0.]
162,health_beauty,4,0d89857f-91d6-4db1-91f7-ee240e84c951,[0.01568628 0.01568628 0.01568628 ... 0.         0.         0.        ]
163,health_beauty,4,e68c2577-c351-419f-893d-49ec10bc5ff3,[0. 0. 0. ... 0. 0. 0.]
164,sports_leisure_travel,0,c65349c4-7077-4c0b-ab0d-e03524bb212b,[0.         0.         0.         ... 0.         0.00784314 0.00784314]
165,appliances,5,40f5d9ff-d42e-47b6-b449-43baa9a18f5a,[0.         0.         0.         ... 0.00784314 0.         0.        ]
166,other_goods,8,89c58c7a-93ed-4009-a0dc-4af4ed90562d,[0.00392157 0.00392157 0.00392157 ... 0.         0.         0.        ]
167,home_garden,1,52e5ad87-ea4a-4cde-a28f-ec90a73211d8,[0. 0. 0. ... 0. 0. 0.]
168,other_goods,8,b7f0aa8c-47e9-4e03-a63b-29e864e723a5,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
169,computers_software,11,17b69d33-18d6-4b3a-84cd-56ca6a22ce1c,[0.9882353  0.99607843 1.         ... 0.9843137  0.9647059  0.95686275]
170,video_games_consoles,10,30f14114-5ada-488c-b15c-11689986edd8,[0.         0.         0.         ... 0.00784314 0.         0.        ]
171,baby_kids_stuff,6,99d44a21-83a5-46d7-b171-db2d92748aa7,[0. 0. 0. ... 0. 0. 0.]
172,phones_mobile_phones_telecoms,12,68cb00bb-732e-49a2-a0a3-8fd1ed2f9b46,[0. 0. 0. ... 0. 0. 0.]
173,video_games_consoles,10,d3225438-ba73-43d1-b421-d81beb00a13d,[0.         0.         0.         ... 0.01960784 0.01960784 0.01960784]
174,office_furniture_equipment,2,e6b9039a-68c3-4143-ad4a-8fdbf9faa4b1,[0.01176471 0.00392157 0.         ... 0.00784314 0.00784314 0.        ]
175,diy_tools_materials,3,90a2b064-6686-4cb8-9ce2-908eacbf4487,[0. 0. 0. ... 0. 0. 0.]
176,baby_kids_stuff,6,d1e587d1-0293-48d5-aa00-95ecd6e76d78,[0. 0. 0. ... 0. 0. 0.]
177,health_beauty,4,d71ac868-071b-4092-8421-c2f1946ae99c,[0.99607843 1.         1.         ... 1.         1.         1.        ]
178,sports_leisure_travel,0,5b758cfb-39b4-403c-85b1-a08eaf057189,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
179,home_garden,1,49a16c1e-b5e6-4521-bf81-c7dec4d56dbe,[0.08235294 0.11372549 0.09411765 ... 0.         0.         0.        ]
180,office_furniture_equipment,2,607c75b8-d58c-4d82-aa55-c914696e3839,[0.         0.         0.         ... 0.00784314 0.01568628 0.01568628]
181,sports_leisure_travel,0,a910e345-7622-4ce3-a9aa-ac94406c2932,[0. 0. 0. ... 0. 0. 0.]
182,video_games_consoles,10,7a37de23-8b33-427a-8087-1749e073d1f9,[0.         0.         0.         ... 0.00784314 0.         0.        ]
183,sports_leisure_travel,0,02512bd0-9f60-4b45-9bb2-bcb652ea58a0,[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
184,health_beauty,4,221ff0d8-35a9-4418-b2f2-7b5d50ababbd,[0. 0. 0. ... 0. 0. 0.]
185,music_films_books_games,7,ff74950e-ed87-4026-a3bb-f1c7a07d8cb3,[0.         0.         0.00392157 ... 0.01568628 0.01960784 0.01568628]
186,appliances,5,51d61177-5c54-46bd-a4f1-b7bc74476267,[0. 0. 0. ... 0. 0. 0.]
187,home_garden,1,fbdba053-38d6-4299-8293-5e91e9312ca3,[0.         0.         0.00392157 ... 0.00784314 0.01568628 0.01568628]
188,video_games_consoles,10,410a3649-8eff-4c48-b100-db0f4856df32,[0. 0. 0. ... 0. 0. 0.]
189,clothes_footwear_accessories,9,73df287a-a7ed-4ff5-89d3-45fe93bc2a22,[0. 0. 0. ... 0. 0. 0.]
190,clothes_footwear_accessories,9,99e62378-fa43-4f69-85d7-412dba21c866,[0. 0. 0. ... 0. 0. 0.]
191,clothes_footwear_accessories,9,8d3c1916-7e12-48d9-bd7a-0f09745dcc2d,[0.01176471 0.00392157 0.         ... 0.         0.         0.        ]
192,other_goods,8,17d4035d-bd33-4665-8ba9-9142e5ef631b,[0. 0. 0. ... 0. 0. 0.]
193,music_films_books_games,7,dd665838-5fe3-4617-bdc6-a1508b03825d,[0.00392157 0.         0.         ... 0.         0.         0.        ]
194,clothes_footwear_accessories,9,2fbe3c3f-1c30-4c6a-8bc5-7cc9478bb3c3,[1.        0.9882353 1.        ... 1.        1.        1.       ]
195,appliances,5,c9d922f4-c63a-4c1b-8be8-7661bee9f02f,[0. 0. 0. ... 0. 0. 0.]
196,video_games_consoles,10,476718cd-affe-412f-9545-352702d42069,[0.         0.03137255 0.         ... 0.         0.         0.        ]
197,computers_software,11,1c9dda63-54cf-48cc-bbcf-6a5b552b4822,[0. 0. 0. ... 0. 0. 0.]
198,office_furniture_equipment,2,81825179-58f8-4e40-9693-eeaf0dd6062d,[0. 0. 0. ... 0. 0. 0.]
199,office_furniture_equipment,2,b52cb677-1726-4d46-9b2d-f0b26af7c349,[0.01176471 0.01176471 0.00392157 ... 0.         0.         0.        ]
200,sports_leisure_travel,0,3e910b09-c748-4d67-8c30-cf408f477b86,[0.01568628 0.01568628 0.01568628 ... 0.         0.         0.        ]
201,appliances,5,9ae7e3ea-393c-487f-ab83-036d3c3bf366,[0. 0. 0. ... 0. 0. 0.]
202,office_furniture_equipment,2,2011ff95-f9ad-4b19-9fc1-cb0ded1967af,[0. 0. 0. ... 0. 0. 0.]
203,phones_mobile_phones_telecoms,12,7d404399-5183-43e0-b81e-fb7e636d830b,[0.00392157 0.00392157 0.00392157 ... 0.         0.         0.        ]
204,baby_kids_stuff,6,d03492c0-1278-4fcf-85f2-203513a1e7c5,[0.00392157 0.00392157 0.         ... 0.00784314 0.00784314 0.00784314]
205,other_goods,8,cd489ba1-aeaa-431a-bbba-2fdc4d7fa769,[0.         0.         0.         ... 0.00784314 0.01568628 0.01568628]
